drug_name,reaction_name,count
DEPAKOTE,Congenital nose malformation,1
DEPAKOTE,Congenital oral malformation,1
DEPAKOTE,Corrective lens user,1
DEPAKOTE,Decreased appetite,1
DEPAKOTE,Disorientation,1
DEPAKOTE,Dreamy state,1
DEPAKOTE,Drug effect incomplete,1
DEPAKOTE,Autism,1
DEPAKOTE,Back injury,1
DEPAKOTE,Eye movement disorder,1
DEPAKOTE,Facial pain,1
DEPAKOTE,Faecal incontinence,1
DEPAKOTE,Faeces pale,1
DEPAKOTE,Fallot^s tetralogy,1
DEPAKOTE,Fear,1
DEPAKOTE,Feeling cold,1
DEPAKOTE,Feeling hot,1
DEPAKOTE,Flat affect,1
DEPAKOTE,Foetal anticonvulsant syndrome,1
DEPAKOTE,Drug interaction,1
DEPAKOTE,Drug intolerance,1
DEPAKOTE,Drug prescribing error,1
DEPAKOTE,Drug withdrawal syndrome,1
DEPAKOTE,Dysarthria,1
DEPAKOTE,Dysgeusia,1
DEPAKOTE,Erythema,1
CEFTRIAXONE,Meningitis,1
CEFTRIAXONE,Normal newborn,1
CEFTRIAXONE,Oxygen saturation decreased,1
CEFTRIAXONE,Pneumonia aspiration,1
CEFTRIAXONE,Pyelonephritis,1
CEFTRIAXONE,Pyrexia,1
CEFTRIAXONE,Sepsis,1
CELEBREX,Activities of daily living impaired,1
CELEBREX,Arthropathy,1
CELEBREX,Cataract,1
CELEBREX,Drug ineffective,1
CELEBREX,Glaucoma,1
CELEBREX,Vitamin D decreased,1
CARDIOASPIRIN,Melaena,1
CARDIOASPIRIN,Subarachnoid haemorrhage,1
DEPAKOTE,Increased tendency to bruise,1
DEPAKOTE,Injury,1
DEPAKOTE,Intervertebral disc disorder,1
DEPAKOTE,Full blood count abnormal,1
DEPAKOTE,Gingival bleeding,1
DEPAKOTE,Gingival erythema,1
DEPAKOTE,Gingival hyperplasia,1
DEPAKOTE,Gingival inflammation,1
DEPAKOTE,Gingival pain,1
DEPAKOTE,Gingivitis,1
DEPAKOTE,Granulocytopenia,1
DEPAKOTE,Growth retardation,1
DEPAKOTE,Hair disorder,1
DEPAKOTE,Hair growth abnormal,1
DEPAKOTE,Head titubation,1
DEPAKOTE,Epistaxis,1
CASODEX,Diarrhoea,1
CASODEX,Drug ineffective,1
CASODEX,Dyspnoea,1
CASODEX,Heart rate decreased,1
CASODEX,Nausea,1
CEFTRIAXONE,Abortion late,1
CEFTRIAXONE,Foetal distress syndrome,1
CEFTRIAXONE,Foetal exposure during pregnancy,1
CEFTRIAXONE,Intraventricular haemorrhage neonatal,1
CEFTRIAXONE,Listeriosis,1
CANESTEN (KAINITING),Caesarean section,1
CANESTEN (KAINITING),Drug ineffective,1
DEPAKOTE,Hepatic enzyme increased,1
DEPAKOTE,Hip fracture,1
DEPAKOTE,Hyperhidrosis,1
DEPAKOTE,Incorrect dose administered,1
DEPAKOTE,Parkinson^s disease,1
DEPAKOTE,Parkinsonism,1
DEPAKOTE,Lip dry,1
DEPAKOTE,Lipase increased,1
DEPAKOTE,Liver function test abnormal,1
DEPAKOTE,Low birth weight baby,1
DEPAKOTE,Medication error,1
DEPAKOTE,Mental impairment,1
DEPAKOTE,Mobility decreased,1
DEPAKOTE,Mood altered,1
DEPAKOTE,Movement disorder,1
DEPAKOTE,Multiple injuries,1
DEPAKOTE,Muscular weakness,1
DEPAKOTE,Heart rate increased,1
CARDIOASPIRIN,Vertigo,1
CASODEX,Arthralgia,1
DEPAKOTE,Premature baby,1
DEPAKOTE,Pruritus,1
DEPAKOTE,Pulmonary valve stenosis congenital,1
DEPAKOTE,Pyrexia,1
DEPAKOTE,Repetitive speech,1
DEPAKOTE,Sedation,1
DEPAKOTE,Skin disorder,1
DEPAKOTE,Sleep disorder,1
DEPAKOTE,Myalgia,1
DEPAKOTE,Neuropathy peripheral,1
DEPAKOTE,Oedema,1
DEPAKOTE,Osteoporosis,1
DEPAKOTE,Pancreatic disorder,1
DEPAKOTE,Pancreatitis acute,1
DEPAKOTE,Pancytopenia,1
DEPAKOTE,Paraesthesia,1
CAPTOPRIL SANDOZ,Blood pressure fluctuation,1
CAPTOPRIL SANDOZ,Dyspepsia,1
CAPTOPRIL SANDOZ,Headache,1
CAPTOPRIL SANDOZ,Malaise,1
CARBIDOPA AND LEVODOPA,Adverse event,1
CARBIDOPA AND LEVODOPA,Fatigue,1
